2620508.7884,3724191.2399,2794551.4938,3307085.8685,2555031.4337,3400004.8195,2950677.6264,3395428.7239,2716120.0520,3794708.4719
3724191.2399,3950706.1165,3700121.1424,4039232.0045,3450640.3043,4211479.3394,3685385.9453,4230960.5119,3489446.9592,4135038.6274
2794551.4938,3700121.1424,2447701.0679,2939291.8712,2423696.8741,2967187.2325,2685776.8699,3199665.3257,2813287.6009,3634873.0704
3307085.8685,4039232.0045,2939291.8712,3116509.6515,2889569.3424,3263234.3175,3028668.6211,3546231.4241,3202049.1282,3897172.6945
2555031.4337,3450640.3043,2423696.8741,2889569.3424,2180396.7789,2955182.6799,2553871.8459,3041062.6230,2543467.9302,3441331.1274
3400004.8195,4211479.3394,2967187.2325,3263234.3175,2955182.6799,3231190.7965,3100929.7355,3610654.3554,3386994.8615,4075930.3868
2950677.6264,3685385.9453,2685776.8699,3028668.6211,2553871.8459,3100929.7355,2630245.5223,3341164.5764,2873850.6414,3648371.3401
3395428.7239,4230960.5119,3199665.3257,3546231.4241,3041062.6230,3610654.3554,3341164.5764,3441156.1635,3386938.7839,4140060.1114
2716120.0520,3489446.9592,2813287.6009,3202049.1282,2543467.9302,3386994.8615,2873850.6414,3386938.7839,2440653.4838,3541718.7674
3794708.4719,4135038.6274,3634873.0704,3897172.6945,3441331.1274,4075930.3868,3648371.3401,4140060.1114,3541718.7674,4021106.2161
