0.0000,2834628.0056,2576103.1638,3631064.6398,4617184.2112,3862095.5113,5981349.3211,2767717.7890,894047.9791,2099876.0723
2834628.0056,0.0000,785415.5768,1056064.0750,1306635.0122,1478849.1746,1418938.3780,903994.1658,1699025.0405,902491.9650
2576103.1638,785415.5768,0.0000,267611.1897,361501.9656,492057.6714,834934.5225,174955.0682,2426476.0732,2006967.2999
3631064.6398,1056064.0750,267611.1897,0.0000,220704.2563,169893.7280,458995.3686,355665.2126,3426995.1286,2810544.4706
4617184.2112,1306635.0122,361501.9656,220704.2563,0.0000,381549.7582,212070.3161,468330.6941,4266792.8285,3351612.0599
3862095.5113,1478849.1746,492057.6714,169893.7280,381549.7582,0.0000,686546.5584,711782.5975,3600854.7206,3535316.6414
5981349.3211,1418938.3780,834934.5225,458995.3686,212070.3161,686546.5584,0.0000,900039.3191,5058899.6643,3660490.6664
2767717.7890,903994.1658,174955.0682,355665.2126,468330.6941,711782.5975,900039.3191,0.0000,2756490.0968,1815309.1831
894047.9791,1699025.0405,2426476.0732,3426995.1286,4266792.8285,3600854.7206,5058899.6643,2756490.0968,0.0000,1138364.4464
2099876.0723,902491.9650,2006967.2999,2810544.4706,3351612.0599,3535316.6414,3660490.6664,1815309.1831,1138364.4464,0.0000
